dataset,sample_id,method,status,baseline_protocol,reproduction_status,native_comparison_available,known_departures,complete_ms,error
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,park_dominant_point_2007_adaptation,ok,adaptation,reproduction_unverified,False,"['Common-MSE stopping replaces the source error-bound protocol; no iterative orthogonal-distance parameter update.', 'Degree-compatible shape-seed completion, endpoint knot clamps, and endpoint-constrained refits are repository choices, not independently source-verified.', 'Discrete Menger curvature and incremental LCM-seed consumption have not been checked against an author-code reference.']",22.152200050186366,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,liang_feature_iki_2017_adaptation,ok,adaptation,reproduction_unverified,False,"['The normalized arc/unsigned-turning-angle feature blend (default 0.5) is a repository construction, not a verified original equation.', 'Sampled feature-CDF inversion and worst-residual span bisection replace unverified analytic-feature/IKI details.', 'Common-MSE stopping, dense/initial knot counts, and endpoint-constrained fits are comparison settings.']",21.1235000169836,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,"[""Only simple knots are optimized; the author's multiplicity 1..degree+1 and joining-angle/continuity classifier are absent."", 'Only serial splitting is implemented; parallel split/join/shift is absent (serial is itself a published variant).', 'The shared comparison knot budget is external to the source algorithm; overflow now fails explicitly rather than silently subsampling coarse breaks.', 'The returned final curve now preserves unconstrained least squares; multiplicity and solver equivalence remain unverified.', 'sqrt(mse_tolerance) is not an equivalent native maximum-error constraint; finite-difference solver/search and short-tail guards are repository choices.']",260.61729999491945,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,kang_sparse_2015_adaptation,ok,adaptation,reproduction_unverified,False,"['Scalar constrained l1 optimization is changed to vector group-l1 with approximate ADMM/penalty bisection instead of the source CVX solve.', ""The default remains a limited Algorithms-4/5 adaptation; experimental Algorithms 1/3 reuse vector group-l1 finite ADMM and can become infeasible at the source's fixed initial error after merges."", 'An absolute floating-point jump cutoff remains a solver setting; relative-maximum filtering, degree+1 retention, expanded spacing, and singleton interval search are disabled by default.', 'The final unconstrained spline is now preserved; numerical equivalence with the original scalar objective and author examples remains unverified.']",2250.8125999593176,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,"['Regularization is selected by a common-MSE search instead of a verified source-paper parameter protocol.', 'DE fitness and the reported spline use endpoint-constrained least squares; a source-native solver/output is not preserved.', 'Minimum-gap projections, random population initialization, and finite DE budgets are unverified implementation choices; the forced-largest-jump fallback is now disabled.', 'The ADMM realization, local-maxima edge cases, and DE variant have no author-code/paper-example equivalence validation.']",5698.744599998463,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,park_dominant_point_2007_adaptation,ok,adaptation,reproduction_unverified,False,"['Common-MSE stopping replaces the source error-bound protocol; no iterative orthogonal-distance parameter update.', 'Degree-compatible shape-seed completion, endpoint knot clamps, and endpoint-constrained refits are repository choices, not independently source-verified.', 'Discrete Menger curvature and incremental LCM-seed consumption have not been checked against an author-code reference.']",94.01790000265464,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,liang_feature_iki_2017_adaptation,ok,adaptation,reproduction_unverified,False,"['The normalized arc/unsigned-turning-angle feature blend (default 0.5) is a repository construction, not a verified original equation.', 'Sampled feature-CDF inversion and worst-residual span bisection replace unverified analytic-feature/IKI details.', 'Common-MSE stopping, dense/initial knot counts, and endpoint-constrained fits are comparison settings.']",17.1216000453569,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,"[""Only simple knots are optimized; the author's multiplicity 1..degree+1 and joining-angle/continuity classifier are absent."", 'Only serial splitting is implemented; parallel split/join/shift is absent (serial is itself a published variant).', 'The shared comparison knot budget is external to the source algorithm; overflow now fails explicitly rather than silently subsampling coarse breaks.', 'The returned final curve now preserves unconstrained least squares; multiplicity and solver equivalence remain unverified.', 'sqrt(mse_tolerance) is not an equivalent native maximum-error constraint; finite-difference solver/search and short-tail guards are repository choices.']",174.66349998721853,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,kang_sparse_2015_adaptation,ok,adaptation,reproduction_unverified,False,"['Scalar constrained l1 optimization is changed to vector group-l1 with approximate ADMM/penalty bisection instead of the source CVX solve.', ""The default remains a limited Algorithms-4/5 adaptation; experimental Algorithms 1/3 reuse vector group-l1 finite ADMM and can become infeasible at the source's fixed initial error after merges."", 'An absolute floating-point jump cutoff remains a solver setting; relative-maximum filtering, degree+1 retention, expanded spacing, and singleton interval search are disabled by default.', 'The final unconstrained spline is now preserved; numerical equivalence with the original scalar objective and author examples remains unverified.']",2042.363899992779,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,"['Regularization is selected by a common-MSE search instead of a verified source-paper parameter protocol.', 'DE fitness and the reported spline use endpoint-constrained least squares; a source-native solver/output is not preserved.', 'Minimum-gap projections, random population initialization, and finite DE budgets are unverified implementation choices; the forced-largest-jump fallback is now disabled.', 'The ADMM realization, local-maxima edge cases, and DE variant have no author-code/paper-example equivalence validation.']",6400.861600006465,
